total_step,reward
527,275.0
890,325.0
1287,525.0
1736,475.0
2031,275.0
2308,225.0
2567,275.0
2861,200.0
3497,400.0
4083,400.0
4548,250.0
4944,375.0
5306,400.0
5660,250.0
5937,100.0
6222,250.0
6772,325.0
7054,150.0
7428,375.0
7877,250.0
8140,100.0
8400,50.0
8645,100.0
8950,200.0
9188,150.0
9838,525.0
10151,325.0
10655,225.0
11003,350.0
11490,275.0
11771,350.0
12090,200.0
12608,500.0
12960,100.0
13542,800.0
13942,200.0
14514,575.0
14989,225.0
15524,300.0
15997,175.0
16593,525.0
17184,675.0
17637,400.0
18040,125.0
18292,125.0
18617,350.0
19047,200.0
19465,350.0
19861,275.0
20154,250.0
20550,150.0
20761,200.0
21233,250.0
21504,250.0
21869,175.0
22276,250.0
22641,275.0
23142,375.0
23495,350.0
24214,675.0
24658,400.0
25075,525.0
25464,250.0
25778,275.0
26339,525.0
26802,425.0
27156,350.0
27444,325.0
27851,150.0
28497,475.0
28919,225.0
29170,100.0
29706,600.0
30065,350.0
30555,525.0
30957,750.0
31197,250.0
31688,400.0
32317,500.0
32772,325.0
33574,675.0
34097,575.0
34418,200.0
34819,225.0
35182,125.0
35607,550.0
35999,150.0
36262,150.0
36595,275.0
37250,150.0
37465,50.0
38013,475.0
38446,275.0
38840,275.0
39157,475.0
40154,625.0
40345,100.0
40961,150.0
41440,350.0
41775,200.0
42070,275.0
42286,200.0
42468,150.0
42721,200.0
42958,150.0
43950,1200.0
44407,350.0
44788,250.0
45085,350.0
45419,150.0
45807,150.0
46287,525.0
46780,500.0
47263,125.0
47992,350.0
48246,200.0
49452,925.0
50355,700.0
51975,650.0
52997,400.0
54106,675.0
54543,150.0
56543,1425.0
57050,300.0
57543,150.0
58575,700.0
58937,25.0
59430,475.0
60632,700.0
60853,50.0
61270,275.0
61943,400.0
62726,450.0
64223,650.0
64726,125.0
65172,100.0
65715,375.0
66391,325.0
67269,575.0
68332,500.0
69914,900.0
70205,50.0
71848,1250.0
72278,250.0
73512,1000.0
73914,250.0
75217,875.0
75779,175.0
76271,75.0
77776,1350.0
78274,425.0
78579,50.0
79631,675.0
80041,150.0
80669,475.0
80930,50.0
81883,975.0
82806,725.0
83862,675.0
85727,1900.0
86762,625.0
87566,275.0
88463,800.0
88927,150.0
90925,1250.0
91349,200.0
92194,475.0
92501,475.0
93898,1100.0
94416,375.0
94999,150.0
95511,375.0
95969,400.0
97566,775.0
98291,500.0
99119,600.0
100283,700.0
100941,325.0
101536,325.0
102835,1500.0
103272,200.0
103752,450.0
104359,775.0
105184,650.0
106061,350.0
107397,600.0
108242,875.0
108877,125.0
109243,175.0
109940,525.0
110964,300.0
111151,75.0
111785,325.0
112401,550.0
112707,275.0
113174,450.0
113712,550.0
114413,675.0
115077,500.0
115724,625.0
116404,350.0
117022,550.0
119022,1550.0
119514,400.0
119965,325.0
120786,650.0
121701,725.0
122342,850.0
123706,950.0
124657,525.0
125740,875.0
126154,525.0
127221,875.0
128003,475.0
128528,400.0
129237,400.0
130838,1575.0
131449,350.0
132380,450.0
133183,500.0
134559,1075.0
135258,475.0
135931,600.0
136506,250.0
136978,100.0
137509,225.0
138174,450.0
140174,1400.0
141308,475.0
143308,1725.0
144240,775.0
145148,350.0
145586,150.0
145961,200.0
146502,225.0
147170,325.0
147842,300.0
148501,225.0
149004,425.0
149482,375.0
149791,25.0
150359,525.0
150998,525.0
151829,250.0
152019,200.0
152234,25.0
152474,175.0
153036,375.0
154331,825.0
154703,275.0
155343,525.0
155887,425.0
156594,500.0
157025,325.0
157312,175.0
157653,150.0
158483,600.0
159426,750.0
160124,350.0
160793,475.0
161705,575.0
162044,475.0
162265,75.0
162452,75.0
163252,275.0
163926,725.0
164136,0.0
165194,525.0
166137,450.0
167123,325.0
167318,50.0
168036,325.0
169323,600.0
170118,750.0
170433,75.0
171129,350.0
171744,425.0
172864,550.0
173669,275.0
173854,100.0
174595,425.0
175115,350.0
175478,175.0
176561,1150.0
177105,125.0
177609,375.0
178186,450.0
178664,250.0
179822,825.0
180138,200.0
181105,550.0
181566,275.0
182269,425.0
182956,700.0
183406,425.0
183882,325.0
184301,275.0
184762,200.0
185113,400.0
186034,900.0
